scope,model_alias,interface,metric,estimate,ci_low,ci_high,ci_excludes_zero,n_groups,n_strata,confidence,estimand,model_label,mapping
model,mistral7b_instruct_v03,letter_contradiction_neutral_entailment,extraction_id_effect,2.194896365536584,2.17510261091209,2.214003330041288,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Mistral,C/N/E
model,mistral7b_instruct_v03,letter_contradiction_neutral_entailment,id_advantage,4.352284815576341,4.314829302399126,4.390497855338354,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Mistral,C/N/E
model,gemma2_9b_it,letter_entailment_contradiction_neutral,current_label_effect,1.185640525817871,1.1554657485775663,1.2155824904379509,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Gemma,E/C/N
model,gemma2_9b_it,letter_entailment_contradiction_neutral,extraction_id_effect,3.900191365347968,3.858692041601881,3.941925383553799,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Gemma,E/C/N
model,gemma2_9b_it,letter_entailment_contradiction_neutral,id_advantage,2.714550839530097,2.665918175433051,2.764687782306189,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Gemma,E/C/N
model,gemma2_9b_it,letter_neutral_entailment_contradiction,current_label_effect,1.3071692360772025,1.277474164952321,1.3374411331290683,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Gemma,N/E/C
model,gemma2_9b_it,letter_neutral_entailment_contradiction,extraction_id_effect,3.296472316318088,3.2493874977180304,3.344196772968488,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Gemma,N/E/C
model,gemma2_9b_it,letter_neutral_entailment_contradiction,id_advantage,1.989303080240885,1.9444932164966584,2.03560016448257,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Gemma,N/E/C
model,gemma2_9b_it,letter_neutral_contradiction_entailment,current_label_effect,-0.5069775899251302,-0.5283221175822033,-0.4851811695633882,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Gemma,N/C/E
model,gemma2_9b_it,letter_neutral_contradiction_entailment,extraction_id_effect,2.6204906940460204,2.5859479329844777,2.655601285530989,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Gemma,N/C/E
model,gemma2_9b_it,letter_neutral_contradiction_entailment,id_advantage,3.127468283971151,3.0768638766167133,3.177256941990904,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Gemma,N/C/E
model,gemma2_9b_it,letter_contradiction_entailment_neutral,current_label_effect,-1.6333750194973415,-1.6687126188928314,-1.598370145337304,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Gemma,C/E/N
model,gemma2_9b_it,letter_contradiction_entailment_neutral,extraction_id_effect,2.805912505255805,2.771853621184821,2.840785784182859,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Gemma,C/E/N
model,gemma2_9b_it,letter_contradiction_entailment_neutral,id_advantage,4.439287524753147,4.373218657964728,4.507897437828234,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Gemma,C/E/N
model,gemma2_9b_it,letter_contradiction_neutral_entailment,current_label_effect,-0.742418130238851,-0.7757325027639286,-0.7097982828847583,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Gemma,C/N/E
model,gemma2_9b_it,letter_contradiction_neutral_entailment,extraction_id_effect,2.435317590501573,2.404001679486766,2.4668715362922065,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Gemma,C/N/E
model,gemma2_9b_it,letter_contradiction_neutral_entailment,id_advantage,3.177735720740424,3.1211405226947804,3.2368365990369545,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Gemma,C/N/E
