metric,model_alias,interface,n_model_contrast_seed_cells,mean_adjusted_gain,positive_pair_rate,standardized_detectability,option_order,permutation_class,is_source_mapping,n_moved_slots,mapping_name,model_label,metric_code,metric_label
semantic_target_margin,gemma2_9b_it,letter_reversed,15,-0.608126285341051,0.5751302083333333,-0.3117447963289975,"expected,normal,taboo",transposition,False,2,reversed_expected_normal_taboo,Gemma,current_label_target,Semantic label
original_slot_margin,qwen2_5_7b_instruct,letter_permutation_expected_taboo_normal,15,1.8074723687592067,0.7608072916666667,2.0244220094392342,"expected,taboo,normal",three_cycle,False,3,permutation_expected_taboo_normal,Qwen,source_slot,Extraction index
original_slot_margin,qwen2_5_7b_instruct,letter_permutation_normal_expected_taboo,15,1.9434446442432496,0.890625,2.4677990540382586,"normal,expected,taboo",three_cycle,False,3,permutation_normal_expected_taboo,Qwen,source_slot,Extraction index
original_slot_margin,qwen2_5_7b_instruct,letter_permutation_normal_taboo_expected,15,3.244674125740615,0.8688802083333333,4.2801360583016885,"normal,taboo,expected",transposition,False,2,permutation_normal_taboo_expected,Qwen,source_slot,Extraction index
original_slot_margin,qwen2_5_7b_instruct,letter_permutation_taboo_expected_normal,15,4.471394558437169,0.8713541666666667,2.6536294750030236,"taboo,expected,normal",transposition,False,2,permutation_taboo_expected_normal,Qwen,source_slot,Extraction index
original_slot_margin,qwen2_5_7b_instruct,letter_reversed,15,2.533872525869972,0.7850260416666667,3.419064280739137,"expected,normal,taboo",transposition,False,2,reversed_expected_normal_taboo,Qwen,source_slot,Extraction index
original_slot_margin,llama3_1_8b_instruct,letter_permutation_expected_taboo_normal,15,1.6703400152424972,1.0,4.793503659916515,"expected,taboo,normal",three_cycle,False,3,permutation_expected_taboo_normal,Llama,source_slot,Extraction index
original_slot_margin,llama3_1_8b_instruct,letter_permutation_normal_expected_taboo,15,1.3600980821583009,0.99296875,3.7557445252500172,"normal,expected,taboo",three_cycle,False,3,permutation_normal_expected_taboo,Llama,source_slot,Extraction index
original_slot_margin,llama3_1_8b_instruct,letter_permutation_normal_taboo_expected,15,1.6133492906888327,1.0,4.19444455304662,"normal,taboo,expected",transposition,False,2,permutation_normal_taboo_expected,Llama,source_slot,Extraction index
original_slot_margin,llama3_1_8b_instruct,letter_permutation_taboo_expected_normal,15,1.6511564978294901,1.0,5.106963097569054,"taboo,expected,normal",transposition,False,2,permutation_taboo_expected_normal,Llama,source_slot,Extraction index
original_slot_margin,llama3_1_8b_instruct,letter_reversed,15,1.3639456225766076,0.9989583333333333,4.443402241033062,"expected,normal,taboo",transposition,False,2,reversed_expected_normal_taboo,Llama,source_slot,Extraction index
original_slot_margin,mistral7b_instruct_v03,letter_permutation_expected_taboo_normal,15,5.803960402144326,1.0,6.466026790265625,"expected,taboo,normal",three_cycle,False,3,permutation_expected_taboo_normal,Mistral,source_slot,Extraction index
original_slot_margin,mistral7b_instruct_v03,letter_permutation_normal_expected_taboo,15,6.299569223324458,1.0,6.165158246280425,"normal,expected,taboo",three_cycle,False,3,permutation_normal_expected_taboo,Mistral,source_slot,Extraction index
original_slot_margin,mistral7b_instruct_v03,letter_permutation_normal_taboo_expected,15,6.188085601064894,1.0,6.255236132162346,"normal,taboo,expected",transposition,False,2,permutation_normal_taboo_expected,Mistral,source_slot,Extraction index
original_slot_margin,mistral7b_instruct_v03,letter_permutation_taboo_expected_normal,15,6.6883494337399805,1.0,5.908836672877131,"taboo,expected,normal",transposition,False,2,permutation_taboo_expected_normal,Mistral,source_slot,Extraction index
original_slot_margin,mistral7b_instruct_v03,letter_reversed,15,6.138872844643063,1.0,6.430572596435762,"expected,normal,taboo",transposition,False,2,reversed_expected_normal_taboo,Mistral,source_slot,Extraction index
original_slot_margin,gemma2_9b_it,letter_permutation_expected_taboo_normal,15,2.8461236159006753,1.0,4.427735383949531,"expected,taboo,normal",three_cycle,False,3,permutation_expected_taboo_normal,Gemma,source_slot,Extraction index
original_slot_margin,gemma2_9b_it,letter_permutation_normal_expected_taboo,15,2.717091374927097,1.0,3.2753658571954163,"normal,expected,taboo",three_cycle,False,3,permutation_normal_expected_taboo,Gemma,source_slot,Extraction index
original_slot_margin,gemma2_9b_it,letter_permutation_normal_taboo_expected,15,3.257886775334676,1.0,4.709320873713598,"normal,taboo,expected",transposition,False,2,permutation_normal_taboo_expected,Gemma,source_slot,Extraction index
original_slot_margin,gemma2_9b_it,letter_permutation_taboo_expected_normal,15,3.743788570827908,1.0,4.4557268358214435,"taboo,expected,normal",transposition,False,2,permutation_taboo_expected_normal,Gemma,source_slot,Extraction index
original_slot_margin,gemma2_9b_it,letter_reversed,15,2.7037683116065128,1.0,3.992443468267474,"expected,normal,taboo",transposition,False,2,reversed_expected_normal_taboo,Gemma,source_slot,Extraction index
semantic_minus_original_slot,qwen2_5_7b_instruct,letter_permutation_expected_taboo_normal,15,1.6041443493889853,0.553125,0.6437267045635089,"expected,taboo,normal",three_cycle,False,3,permutation_expected_taboo_normal,Qwen,current_label_minus_source_slot,Current - ID
semantic_minus_original_slot,qwen2_5_7b_instruct,letter_permutation_normal_expected_taboo,15,-1.3160686670259263,0.32838541666666665,-0.8687051399606032,"normal,expected,taboo",three_cycle,False,3,permutation_normal_expected_taboo,Qwen,current_label_minus_source_slot,Current - ID
semantic_minus_original_slot,qwen2_5_7b_instruct,letter_permutation_normal_taboo_expected,15,-0.5263560973858046,0.3611979166666667,-0.8499477454128511,"normal,taboo,expected",transposition,False,2,permutation_normal_taboo_expected,Qwen,current_label_minus_source_slot,Current - ID
semantic_minus_original_slot,qwen2_5_7b_instruct,letter_permutation_taboo_expected_normal,15,-0.6186884068780476,0.348828125,-0.43311320422475585,"taboo,expected,normal",transposition,False,2,permutation_taboo_expected_normal,Qwen,current_label_minus_source_slot,Current - ID
semantic_minus_original_slot,qwen2_5_7b_instruct,letter_reversed,15,0.3548705118190911,0.5365885416666667,0.042281142384459,"expected,normal,taboo",transposition,False,2,reversed_expected_normal_taboo,Qwen,current_label_minus_source_slot,Current - ID
semantic_minus_original_slot,llama3_1_8b_instruct,letter_permutation_expected_taboo_normal,15,-2.436151760775182,0.0,-4.199418761008807,"expected,taboo,normal",three_cycle,False,3,permutation_expected_taboo_normal,Llama,current_label_minus_source_slot,Current - ID
semantic_minus_original_slot,llama3_1_8b_instruct,letter_permutation_normal_expected_taboo,15,-1.8771747398707601,0.07708333333333334,-3.6371404381082018,"normal,expected,taboo",three_cycle,False,3,permutation_normal_expected_taboo,Llama,current_label_minus_source_slot,Current - ID
semantic_minus_original_slot,llama3_1_8b_instruct,letter_permutation_normal_taboo_expected,15,-1.5554267352239954,0.054427083333333334,-3.4159448920745015,"normal,taboo,expected",transposition,False,2,permutation_normal_taboo_expected,Llama,current_label_minus_source_slot,Current - ID
semantic_minus_original_slot,llama3_1_8b_instruct,letter_permutation_taboo_expected_normal,15,-0.9478061689270868,0.173828125,-2.8937824661849505,"taboo,expected,normal",transposition,False,2,permutation_taboo_expected_normal,Llama,current_label_minus_source_slot,Current - ID
semantic_minus_original_slot,llama3_1_8b_instruct,letter_reversed,15,-2.0804549228813913,0.0005208333333333333,-5.110512743094274,"expected,normal,taboo",transposition,False,2,reversed_expected_normal_taboo,Llama,current_label_minus_source_slot,Current - ID
semantic_minus_original_slot,mistral7b_instruct_v03,letter_permutation_expected_taboo_normal,15,-9.102163238657846,0.0,-5.85079068157559,"expected,taboo,normal",three_cycle,False,3,permutation_expected_taboo_normal,Mistral,current_label_minus_source_slot,Current - ID
semantic_minus_original_slot,mistral7b_instruct_v03,letter_permutation_normal_expected_taboo,15,-8.841104568375481,0.0,-4.673843675904118,"normal,expected,taboo",three_cycle,False,3,permutation_normal_expected_taboo,Mistral,current_label_minus_source_slot,Current - ID
semantic_minus_original_slot,mistral7b_instruct_v03,letter_permutation_normal_taboo_expected,15,-6.850604256656435,0.013541666666666667,-4.503069497258764,"normal,taboo,expected",transposition,False,2,permutation_normal_taboo_expected,Mistral,current_label_minus_source_slot,Current - ID
semantic_minus_original_slot,mistral7b_instruct_v03,letter_permutation_taboo_expected_normal,15,-3.6643415490786233,0.009114583333333334,-4.1366613387639095,"taboo,expected,normal",transposition,False,2,permutation_taboo_expected_normal,Mistral,current_label_minus_source_slot,Current - ID
semantic_minus_original_slot,mistral7b_instruct_v03,letter_reversed,15,-8.211567763487498,0.0,-5.337332433811965,"expected,normal,taboo",transposition,False,2,reversed_expected_normal_taboo,Mistral,current_label_minus_source_slot,Current - ID
semantic_minus_original_slot,gemma2_9b_it,letter_permutation_expected_taboo_normal,15,-3.494231753879123,0.0014322916666666666,-3.720763277647533,"expected,taboo,normal",three_cycle,False,3,permutation_expected_taboo_normal,Gemma,current_label_minus_source_slot,Current - ID
semantic_minus_original_slot,gemma2_9b_it,letter_permutation_normal_expected_taboo,15,-4.2637134657965765,0.010807291666666666,-2.947523729097538,"normal,expected,taboo",three_cycle,False,3,permutation_normal_expected_taboo,Gemma,current_label_minus_source_slot,Current - ID
semantic_minus_original_slot,gemma2_9b_it,letter_permutation_normal_taboo_expected,15,-2.6068148189120826,0.010677083333333334,-2.658859638896263,"normal,taboo,expected",transposition,False,2,permutation_normal_taboo_expected,Gemma,current_label_minus_source_slot,Current - ID
semantic_minus_original_slot,gemma2_9b_it,letter_permutation_taboo_expected_normal,15,-2.488246504465739,0.2674479166666667,-2.4093377382933627,"taboo,expected,normal",transposition,False,2,permutation_taboo_expected_normal,Gemma,current_label_minus_source_slot,Current - ID
semantic_minus_original_slot,gemma2_9b_it,letter_reversed,15,-3.3118945969475644,0.0,-3.21845997922739,"expected,normal,taboo",transposition,False,2,reversed_expected_normal_taboo,Gemma,current_label_minus_source_slot,Current - ID
