model_alias,model_name,identifier_set,metric,n_pairs,mean,ci_low,ci_high,confidence,scope
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,letters_xyz,extraction_identifier_margin_gain,1536,-0.1877507600519392,-0.2012750861131482,-0.1743706613779068,0.95,competence_gated
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,letters_xyz,extraction_row_margin_gain,1536,0.1732894662353727,0.1703033235337999,0.1762155539045731,0.95,competence_gated
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,numbers_123,semantic_margin_gain,1536,0.0118681413156014,0.0108183022726465,0.0129091933093689,0.95,competence_gated
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,numbers_123,extraction_identifier_margin_gain,1536,0.0116984027403372,0.0113883099346249,0.0120137608713573,0.95,competence_gated
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,numbers_123,extraction_row_margin_gain,1536,0.0062604579660627,0.0059765952880735,0.0065509673070024,0.95,competence_gated
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,letters_abc,semantic_margin_gain,1536,0.2608323547575208,0.2489274030923842,0.2730231998198562,0.95,competence_gated
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,letters_abc,extraction_identifier_margin_gain,1536,0.9580198845929568,0.9519325133206116,0.9640327624355752,0.95,competence_gated
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,letters_abc,extraction_row_margin_gain,1536,-0.0227791258030467,-0.0261348465002245,-0.0194058314545287,0.95,competence_gated
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,letters_xyz,semantic_margin_gain,1536,0.4388020797460167,0.422433588936649,0.4554825715237745,0.95,competence_gated
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,letters_xyz,extraction_identifier_margin_gain,1536,-0.1013166887892617,-0.1105761025652841,-0.0921129543403232,0.95,competence_gated
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,letters_xyz,extraction_row_margin_gain,1536,-0.1000226769182417,-0.1034919372449318,-0.0965795382167454,0.95,competence_gated
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,numbers_123,semantic_margin_gain,1536,0.010614651772711,0.0095647324428514,0.0117017572849161,0.95,competence_gated
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,numbers_123,extraction_identifier_margin_gain,1536,0.0987128741625282,0.097551814171796,0.09987067286684,0.95,competence_gated
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,numbers_123,extraction_row_margin_gain,1536,-0.0037905462776069,-0.0043056479068817,-0.0032822446397471,0.95,competence_gated
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,letters_abc,semantic_margin_gain,1536,4.13345537062937,4.071380219676319,4.1935831422703576,0.95,competence_gated
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,letters_abc,extraction_identifier_margin_gain,1536,-0.1327528906350145,-0.1521002559266182,-0.1134790941483785,0.95,competence_gated
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,letters_abc,extraction_row_margin_gain,1536,0.3679934057010406,0.3498062380220088,0.3855788204622782,0.95,competence_gated
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,letters_xyz,semantic_margin_gain,1536,4.403522166924732,4.343393789389827,4.462165087188327,0.95,competence_gated
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,letters_xyz,extraction_identifier_margin_gain,1536,0.1362067826180632,0.1247068315116781,0.1478571383768684,0.95,competence_gated
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,letters_xyz,extraction_row_margin_gain,1536,0.2514924037785493,0.2335897799288364,0.270028015638403,0.95,competence_gated
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,numbers_123,semantic_margin_gain,1536,0.3548913715295149,0.3494936507746859,0.3603731002763029,0.95,competence_gated
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,numbers_123,extraction_identifier_margin_gain,1536,-0.0023834570451139,-0.0050057297910286,0.0002661015318557,0.95,competence_gated
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,numbers_123,extraction_row_margin_gain,1536,0.0508733914671379,0.0491179157486773,0.0526800097219637,0.95,competence_gated
